mode,qid,seed,idx,truth,anchor,initial_signal,first_logged_value,final_value
governed,count_k,1,17,512.0,819.2,943.406356720488,743.938,475.429
governed,count_k,1,18,512.0,819.2,490.35727969439904,520.0,503.021
governed,count_k,1,19,512.0,819.2,719.9853283313566,664.882,521.457
governed,count_k,2,0,512.0,819.2,542.3468164434521,562.422,539.141
governed,count_k,2,1,512.0,819.2,846.1436180904172,771.755,542.119
governed,count_k,2,2,512.0,819.2,635.3364271385756,591.043,526.509
governed,count_k,2,3,512.0,819.2,442.8420133822577,455.669,458.0
governed,count_k,2,4,512.0,819.2,512.0023989792595,524.022,501.1
governed,count_k,2,5,512.0,819.2,556.4295227104485,559.22,538.921
governed,count_k,2,6,512.0,819.2,486.3174085023,520.0,492.0
governed,count_k,2,7,512.0,819.2,701.4838447479385,660.0,526.361
governed,count_k,2,8,512.0,819.2,358.9660135781365,415.0,382.349
governed,count_k,2,9,512.0,819.2,653.8186478371199,628.453,636.491
governed,count_k,2,10,512.0,819.2,872.6965478785219,748.336,549.119
governed,count_k,2,11,512.0,819.2,484.5013124281264,504.838,486.5
governed,count_k,2,12,512.0,819.2,662.2431099880367,608.192,493.059
governed,count_k,2,13,512.0,819.2,515.9297508858419,494.926,513.079
governed,count_k,2,14,512.0,819.2,308.231711371728,346.111,493.059
governed,count_k,2,15,512.0,819.2,519.1852210920105,526.513,516.667
governed,count_k,2,16,512.0,819.2,757.8499202786988,686.602,526.489
governed,count_k,2,17,512.0,819.2,480.7809009651425,520.0,493.391
governed,count_k,2,18,512.0,819.2,419.6754825841065,456.211,467.835
governed,count_k,2,19,512.0,819.2,493.6980653111752,471.352,482.0
governed,dist_km,0,0,430.0,774.0,931.9507741253668,851.047,424.544
governed,dist_km,0,1,430.0,774.0,355.93350737368667,392.115,362.217
governed,dist_km,0,2,430.0,774.0,445.6295752356514,463.67,431.0
governed,dist_km,0,3,430.0,774.0,477.9490300004092,591.95,446.191
governed,dist_km,0,4,430.0,774.0,394.6373853501411,423.151,398.222
governed,dist_km,0,5,430.0,774.0,347.9578758647938,391.355,370.0
governed,dist_km,0,6,430.0,774.0,477.5976962346813,482.337,463.0
governed,dist_km,0,7,430.0,774.0,761.9672299755173,703.192,431.505
governed,dist_km,0,8,430.0,774.0,413.5948953583487,406.123,414.272
governed,dist_km,0,9,430.0,774.0,411.3456892120469,412.174,412.043
governed,dist_km,0,10,430.0,774.0,524.133365448998,554.2,429.827
governed,dist_km,0,11,430.0,774.0,457.5404490912451,433.184,402.5
governed,dist_km,0,12,430.0,774.0,527.091648889327,557.092,503.092
governed,dist_km,0,13,430.0,774.0,759.5154938711403,686.283,432.5
governed,dist_km,0,14,430.0,774.0,257.27661755762495,287.277,369.5
governed,dist_km,0,15,430.0,774.0,235.15036824363037,294.39,251.575
governed,dist_km,0,16,430.0,774.0,313.35076777839095,355.0,327.431
governed,dist_km,0,17,430.0,774.0,518.9384921045331,562.469,503.115
governed,dist_km,0,18,430.0,774.0,152.8511298984887,252.851,428.409
governed,dist_km,0,19,430.0,774.0,518.316685308279,546.73,503.112
governed,dist_km,1,0,430.0,774.0,445.7222126801181,475.259,426.456
governed,dist_km,1,1,430.0,774.0,349.5886813275955,397.191,363.352
governed,dist_km,1,2,430.0,774.0,368.7740968103798,411.387,410.251
governed,dist_km,1,3,430.0,774.0,554.9817820270104,520.0,432.119
governed,dist_km,1,4,430.0,774.0,784.8620291546729,703.862,428.356
governed,dist_km,1,5,430.0,774.0,581.4467883721159,551.591,563.189
governed,dist_km,1,6,430.0,774.0,467.0127072625032,480.0,460.623
governed,dist_km,1,7,430.0,774.0,439.23731923443376,463.119,437.192
governed,dist_km,1,8,430.0,774.0,363.6321930924919,397.215,372.911
governed,dist_km,1,9,430.0,774.0,253.07571989966283,307.69,443.881
governed,dist_km,1,10,430.0,774.0,578.4465975484118,565.0,428.091
governed,dist_km,1,11,430.0,774.0,441.0355495527928,394.657,388.0
governed,dist_km,1,12,430.0,774.0,1153.2643746669032,948.095,430.0
governed,dist_km,1,13,430.0,774.0,388.7874727005869,423.112,402.5
governed,dist_km,1,14,430.0,774.0,456.74817651444187,441.9,449.911
governed,dist_km,1,15,430.0,774.0,397.06521307246345,497.065,410.065
governed,dist_km,1,16,430.0,774.0,256.71909549560155,317.719,286.719
governed,dist_km,1,17,430.0,774.0,837.6031739522189,703.059,392.882
governed,dist_km,1,18,430.0,774.0,409.5514336956358,446.117,429.551
governed,dist_km,1,19,430.0,774.0,626.5095753521363,571.923,439.368
governed,dist_km,2,0,430.0,774.0,458.6724071377344,475.0,453.119
governed,dist_km,2,1,430.0,774.0,745.7069829125769,680.617,442.92
governed,dist_km,2,2,430.0,774.0,546.5312434146209,517.177,433.59
governed,dist_km,2,3,430.0,774.0,364.6578593235687,379.431,379.029
governed,dist_km,2,4,430.0,774.0,430.0022666137046,445.0,410.0
governed,dist_km,2,5,430.0,774.0,471.9780890843349,474.89,460.091
governed,dist_km,2,6,430.0,774.0,405.73446555271016,435.268,410.0
governed,dist_km,2,7,430.0,774.0,609.0289255797173,568.21,424.478
governed,dist_km,2,8,430.0,774.0,285.4097833367647,342.911,294.059
governed,dist_km,2,9,430.0,774.0,563.9936931468883,543.61,552.669
governed,dist_km,2,10,430.0,774.0,770.7948340551466,681.29,423.5
governed,dist_km,2,11,430.0,774.0,404.0185739982542,424.878,404.019
governed,dist_km,2,12,430.0,774.0,571.9533290170172,541.171,400.0
governed,dist_km,2,13,430.0,774.0,433.7129238105978,413.469,426.711
governed,dist_km,2,14,430.0,774.0,237.4747858907684,287.475,417.0
governed,dist_km,2,15,430.0,774.0,436.7887709048048,446.789,432.119
governed,dist_km,2,16,430.0,774.0,662.2849588570714,602.5,408.5
governed,dist_km,2,17,430.0,774.0,400.5034391443119,440.0,417.059
governed,dist_km,2,18,430.0,774.0,342.76955996105767,392.0,399.191
governed,dist_km,2,19,430.0,774.0,412.7078888560176,397.4,396.0
governed,pct_share,0,0,36.0,75.6,73.3544762139808,62.469,35.917
governed,pct_share,0,1,36.0,75.6,30.48807496734413,32.5,31.429
governed,pct_share,0,2,36.0,75.6,37.16313118032755,38.5,36.0
governed,pct_share,0,3,36.0,75.6,39.56829990700719,51.059,37.2
governed,pct_share,0,4,36.0,75.6,33.368363560940736,36.0,34.194
governed,pct_share,0,5,36.0,75.6,29.894539599240467,32.5,30.5
governed,pct_share,0,6,36.0,75.6,39.542154138394885,39.857,37.8
governed,pct_share,0,7,36.0,75.6,60.704538044689656,55.0,36.414
governed,pct_share,0,8,36.0,75.6,34.779155003411994,34.223,34.812
governed,pct_share,0,9,36.0,75.6,34.6117722204314,34.7,34.456
governed,pct_share,0,10,36.0,75.6,43.00527370783241,45.1,36.4
governed,pct_share,0,11,36.0,75.6,38.04952179283684,36.2,34.5
governed,pct_share,0,12,36.0,75.6,43.22542503362433,45.5,40.688
governed,pct_share,0,13,36.0,75.6,60.52208326482905,55.5,37.192
governed,pct_share,0,14,36.0,75.6,23.146166888009297,25.5,30.6
governed,pct_share,0,15,36.0,75.6,21.499562287898076,26.0,25.5
governed,pct_share,0,16,36.0,75.6,27.3191269044384,32.493,30.174
governed,pct_share,0,17,36.0,75.6,42.618678482197815,45.5,40.2
governed,pct_share,0,18,36.0,75.6,15.37496780639916,20.5,33.531
governed,pct_share,0,19,36.0,75.6,42.57240448805797,45.5,40.492
governed,pct_share,1,0,36.0,75.6,37.1700251296832,40.2,36.0
governed,pct_share,1,1,36.0,75.6,30.015901866239663,32.5,33.0
governed,pct_share,1,2,36.0,75.6,31.44365371612129,35.5,34.821
governed,pct_share,1,3,36.0,75.6,45.30096982526589,42.235,37.8
governed,pct_share,1,4,36.0,75.6,62.408337053371,52.291,36.5
governed,pct_share,1,5,36.0,75.6,47.2704586695528,44.1,44.3
governed,pct_share,1,6,36.0,75.6,38.75443402883744,39.5,37.999
governed,pct_share,1,7,36.0,75.6,36.68742840814391,38.5,36.59
governed,pct_share,1,8,36.0,75.6,31.061000416185443,34.5,33.441
governed,pct_share,1,9,36.0,75.6,22.83354194602142,30.489,36.5
governed,pct_share,1,10,36.0,75.6,47.04718865476553,46.2,36.847
governed,pct_share,1,11,36.0,75.6,36.8212501992776,33.45,33.429
governed,pct_share,1,12,36.0,75.6,89.82432555660675,73.191,36.629
governed,pct_share,1,13,36.0,75.6,32.93302122422972,35.5,33.5
governed,pct_share,1,14,36.0,75.6,37.990561973167765,36.903,36.996
governed,pct_share,1,15,36.0,75.6,33.54903911236937,41.261,34.419
governed,pct_share,1,16,36.0,75.6,23.10467687409128,26.5,26.3
governed,pct_share,1,17,36.0,75.6,66.3332594569093,55.0,34.0
governed,pct_share,1,18,36.0,75.6,34.47824622851243,37.5,36.5
governed,pct_share,1,19,36.0,75.6,50.62396839829852,44.627,37.8
governed,pct_share,2,0,36.0,75.6,38.13376053118023,39.5,37.984
governed,pct_share,2,1,36.0,75.6,59.49447314698246,52.321,38.1
governed,pct_share,2,2,36.0,75.6,44.67209253318109,41.87,37.3
governed,pct_share,2,3,36.0,75.6,31.137329065939998,32.2,33.343
governed,pct_share,2,4,36.0,75.6,36.00016867822918,37.0,35.719
governed,pct_share,2,5,36.0,75.6,39.12395081557841,39.351,38.9
governed,pct_share,2,6,36.0,75.6,34.194192785317966,36.555,35.123
governed,pct_share,2,7,36.0,75.6,49.32308283383943,44.87,37.774
governed,pct_share,2,8,36.0,75.6,25.23979782971272,28.5,28.515
governed,pct_share,2,9,36.0,75.6,45.97162367604749,44.617,42.926
governed,pct_share,2,10,36.0,75.6,61.36147602270857,55.5,36.707
governed,pct_share,2,11,36.0,75.6,34.06649853010264,36.0,34.79
governed,pct_share,2,12,36.0,75.6,46.56396867103384,42.5,36.2
governed,pct_share,2,13,36.0,75.6,36.27631060916077,34.89,36.224
governed,pct_share,2,14,36.0,75.6,21.672542205824623,25.85,34.431
governed,pct_share,2,15,36.0,75.6,36.50521085803199,37.1,36.462
governed,pct_share,2,16,36.0,75.6,53.28632251959601,46.5,36.517
governed,pct_share,2,17,36.0,75.6,33.80490709911158,36.422,34.95
governed,pct_share,2,18,36.0,75.6,29.50843236919499,34.517,33.0
governed,pct_share,2,19,36.0,75.6,34.71314521719201,33.142,33.734
governed,year_gap,0,0,87.0,47.85,199.8416468964003,159.323,81.723
governed,year_gap,0,1,87.0,47.85,70.34939313051872,76.121,73.987
governed,year_gap,0,2,87.0,47.85,90.51362544057278,95.0,83.198
governed,year_gap,0,3,87.0,47.85,97.77923930241757,125.39,82.782
governed,year_gap,0,4,87.0,47.85,79.05026492367513,85.0,79.317
governed,year_gap,0,5,87.0,47.85,68.55642170603892,80.0,73.456
governed,year_gap,0,6,87.0,47.85,97.70025729306788,98.2,90.589
governed,year_gap,0,7,87.0,47.85,161.62829201,141.919,84.72
governed,year_gap,0,8,87.0,47.85,83.31203073947374,82.21,82.681
governed,year_gap,0,9,87.0,47.85,82.80639524921986,83.072,80.333
governed,year_gap,0,10,87.0,47.85,108.16176432574372,112.5,82.0
governed,year_gap,0,11,87.0,47.85,93.19126374919465,86.513,79.434
governed,year_gap,0,12,87.0,47.85,108.8268047890735,112.5,103.215
governed,year_gap,0,13,87.0,47.85,161.0771265291711,141.077,84.911
governed,year_gap,0,14,87.0,47.85,48.170712474194765,56.4,71.982
governed,year_gap,0,15,87.0,47.85,43.19659441135876,55.559,45.5
governed,year_gap,0,16,87.0,47.85,60.77652919049099,74.411,65.349
governed,year_gap,0,17,87.0,47.85,106.99392458163922,112.5,100.787
governed,year_gap,0,18,87.0,47.85,24.69521524849747,44.887,80.5
governed,year_gap,0,19,87.0,47.85,106.85413855767511,115.0,96.422
governed,year_gap,1,0,87.0,47.85,90.53445091258467,100.0,81.75
governed,year_gap,1,1,87.0,47.85,68.92303688759898,76.431,72.911
governed,year_gap,1,2,87.0,47.85,73.23603726744973,85.016,79.999
governed,year_gap,1,3,87.0,47.85,115.09667968049072,105.0,82.936
governed,year_gap,1,4,87.0,47.85,166.7751848487249,138.5,83.568
governed,year_gap,1,5,87.0,47.85,121.04617723094076,108.0,112.0
governed,year_gap,1,6,87.0,47.85,95.32068612877978,98.5,89.419
governed,year_gap,1,7,87.0,47.85,89.07660664960139,95.0,86.513
governed,year_gap,1,8,87.0,47.85,72.08010542389353,80.0,76.29
governed,year_gap,1,9,87.0,47.85,47.22632462860638,63.119,80.534
governed,year_gap,1,10,87.0,47.85,120.37171572793751,117.615,81.492
governed,year_gap,1,11,87.0,47.85,89.48085997698442,77.617,73.456
governed,year_gap,1,12,87.0,47.85,249.5943167855829,187.347,83.674
governed,year_gap,1,13,87.0,47.85,77.73516828152728,85.0,79.072
governed,year_gap,1,14,87.0,47.85,93.01315596061096,90.0,86.504
governed,year_gap,1,15,87.0,47.85,79.59605565194914,79.596,80.782
governed,year_gap,1,16,87.0,47.85,48.04537805715074,60.0,49.272
governed,year_gap,1,17,87.0,47.85,178.6317212760802,157.224,74.308
governed,year_gap,1,18,87.0,47.85,82.40303548196465,90.0,85.5
governed,year_gap,1,19,87.0,47.85,131.17657120319342,114.509,84.985
governed,year_gap,2,0,87.0,47.85,93.44573493794029,96.5,92.999
governed,year_gap,2,1,87.0,47.85,157.9728876315095,134.923,88.906
governed,year_gap,2,2,87.0,47.85,113.19694619398456,104.059,88.871
governed,year_gap,2,3,87.0,47.85,72.31068155336041,75.5,76.489
governed,year_gap,2,4,87.0,47.85,87.00050954881732,89.5,82.847
governed,year_gap,2,5,87.0,47.85,96.43693475539312,96.8,92.192
governed,year_gap,2,6,87.0,47.85,81.54495737231468,86.669,82.092
governed,year_gap,2,7,87.0,47.85,127.24681272722329,114.293,84.287
governed,year_gap,2,8,87.0,47.85,54.49522261059052,63.742,55.859
governed,year_gap,2,9,87.0,47.85,117.12261318806014,114.415,108.2
governed,year_gap,2,10,87.0,47.85,163.61279215193213,134.515,85.174
governed,year_gap,2,11,87.0,47.85,81.15921430968505,86.5,81.112
governed,year_gap,2,12,87.0,47.85,118.91198869374804,104.357,78.396
governed,year_gap,2,13,87.0,47.85,87.83468829850648,83.092,86.997
governed,year_gap,2,14,87.0,47.85,43.71913791342856,55.652,73.357
governed,year_gap,2,15,87.0,47.85,88.52615780030497,90.205,87.999
governed,year_gap,2,16,87.0,47.85,139.21909927794627,124.5,80.948
governed,year_gap,2,17,87.0,47.85,80.36899019523291,86.113,81.913
governed,year_gap,2,18,87.0,47.85,67.39005611527654,80.121,79.97
governed,year_gap,2,19,87.0,47.85,83.1126261769342,78.365,79.404
naive,count_k,0,0,512.0,819.2,1043.263661709949,911.151,566.189
naive,count_k,0,1,512.0,819.2,433.6081773133387,461.164,452.0
naive,count_k,0,2,512.0,819.2,528.542310120214,551.275,546.931
naive,count_k,0,3,512.0,819.2,562.7491542329911,662.749,591.422
naive,count_k,0,4,512.0,819.2,474.5722817556015,493.5,483.159
naive,count_k,0,5,512.0,819.2,425.16678541142,457.419,463.911
naive,count_k,0,6,512.0,819.2,562.3773033016162,565.87,559.123
naive,count_k,0,7,512.0,819.2,863.3534299689195,748.329,571.456
naive,count_k,0,8,512.0,819.2,494.6368711596373,486.729,498.855
naive,count_k,0,9,512.0,819.2,492.25631602391326,493.2,509.3
naive,count_k,0,10,512.0,819.2,611.6305594002831,636.879,559.357
naive,count_k,0,11,512.0,819.2,541.1487543870129,517.208,503.011
naive,count_k,0,12,512.0,819.2,614.7616004782128,646.928,593.651
naive,count_k,0,13,512.0,819.2,860.7585175442354,748.743,559.917
naive,count_k,0,14,512.0,819.2,329.18992907391004,357.011,451.192
naive,count_k,0,15,512.0,819.2,305.7715525389948,351.111,351.119
naive,count_k,0,16,512.0,819.2,388.5386937520128,423.911,413.0
naive,count_k,0,17,512.0,819.2,606.1323161912578,657.51,592.289
naive,count_k,0,18,512.0,819.2,218.6662088021214,305.333,551.728
naive,count_k,0,19,512.0,819.2,605.4741971634911,646.774,581.121
naive,count_k,1,0,512.0,819.2,528.6403573999389,552.93,559.171
naive,count_k,1,1,512.0,819.2,426.8928265420752,460.385,459.191
naive,count_k,1,2,512.0,819.2,447.19863062928056,493.51,548.056
naive,count_k,1,3,512.0,819.2,644.2804597371148,593.51,585.055
naive,count_k,1,4,512.0,819.2,887.5852380923875,734.926,571.835
naive,count_k,1,5,512.0,819.2,672.290967744751,636.095,657.291
naive,count_k,1,6,512.0,819.2,551.174172854577,563.42,552.762
naive,count_k,1,7,512.0,819.2,521.7767595824912,551.111,529.356
naive,count_k,1,8,512.0,819.2,441.7564503635263,478.123,460.123
naive,count_k,1,9,512.0,819.2,324.74370767674907,412.123,593.182
naive,count_k,1,10,512.0,819.2,669.1155719788875,656.138,571.421
naive,count_k,1,11,512.0,819.2,523.6800028341703,478.95,593.115
naive,count_k,1,12,512.0,819.2,1277.501519027296,1103.335,562.503
naive,count_k,1,13,512.0,819.2,468.380746300156,493.59,480.0
naive,count_k,1,14,512.0,819.2,540.3102147294971,520.0,520.0
naive,count_k,1,15,512.0,819.2,477.1418895981422,542.89,493.429
naive,count_k,1,16,512.0,819.2,328.5998488759649,382.78,360.0
naive,count_k,1,17,512.0,819.2,943.406356720488,743.938,526.885
naive,count_k,1,18,512.0,819.2,490.35727969439904,520.0,510.0
naive,count_k,1,19,512.0,819.2,719.9853283313566,664.882,559.821
naive,count_k,2,0,512.0,819.2,542.3468164434521,562.422,551.109
naive,count_k,2,1,512.0,819.2,846.1436180904172,771.755,562.871
naive,count_k,2,2,512.0,819.2,635.3364271385756,592.911,559.871
naive,count_k,2,3,512.0,819.2,442.8420133822577,452.669,460.221
naive,count_k,2,4,512.0,819.2,512.0023989792595,524.226,516.0
naive,count_k,2,5,512.0,819.2,556.4295227104485,559.22,552.885
naive,count_k,2,6,512.0,819.2,486.3174085023,520.0,498.112
naive,count_k,2,7,512.0,819.2,701.4838447479385,660.0,553.421
naive,count_k,2,8,512.0,819.2,358.9660135781365,415.0,384.419
naive,count_k,2,9,512.0,819.2,653.8186478371199,628.45,635.897
naive,count_k,2,10,512.0,819.2,872.6965478785219,743.881,571.429
naive,count_k,2,11,512.0,819.2,484.5013124281264,504.939,493.119
naive,count_k,2,12,512.0,819.2,662.2431099880367,608.192,512.0
naive,count_k,2,13,512.0,819.2,515.9297508858419,494.927,514.999
naive,count_k,2,14,512.0,819.2,308.231711371728,346.119,460.616
naive,count_k,2,15,512.0,819.2,519.1852210920105,526.513,519.047
naive,count_k,2,16,512.0,819.2,757.8499202786988,686.092,548.191
naive,count_k,2,17,512.0,819.2,480.7809009651425,520.0,493.391
naive,count_k,2,18,512.0,819.2,419.6754825841065,456.191,493.0
naive,count_k,2,19,512.0,819.2,493.6980653111752,471.352,487.449
naive,dist_km,0,0,430.0,774.0,931.9507741253668,851.047,526.336
naive,dist_km,0,1,430.0,774.0,355.93350737368667,392.623,379.421
naive,dist_km,0,2,430.0,774.0,445.6295752356514,463.67,470.0
naive,dist_km,0,3,430.0,774.0,477.9490300004092,597.431,561.829
naive,dist_km,0,4,430.0,774.0,394.6373853501411,423.091,402.318
naive,dist_km,0,5,430.0,774.0,347.9578758647938,391.355,379.431
naive,dist_km,0,6,430.0,774.0,477.5976962346813,482.337,469.469
naive,dist_km,0,7,430.0,774.0,761.9672299755173,703.192,521.091
naive,dist_km,0,8,430.0,774.0,413.5948953583487,406.123,420.0
naive,dist_km,0,9,430.0,774.0,411.3456892120469,412.191,428.219
naive,dist_km,0,10,430.0,774.0,524.133365448998,554.4,488.0
naive,dist_km,0,11,430.0,774.0,457.5404490912451,435.0,423.4
naive,dist_km,0,12,430.0,774.0,527.091648889327,557.092,508.5
naive,dist_km,0,13,430.0,774.0,759.5154938711403,682.782,468.59
naive,dist_km,0,14,430.0,774.0,257.27661755762495,287.277,371.4
naive,dist_km,0,15,430.0,774.0,235.15036824363037,280.0,239.0
naive,dist_km,0,16,430.0,774.0,313.35076777839095,349.119,336.234
naive,dist_km,0,17,430.0,774.0,518.9384921045331,562.469,516.105
naive,dist_km,0,18,430.0,774.0,152.8511298984887,252.851,486.171
naive,dist_km,0,19,430.0,774.0,518.316685308279,546.73,512.5
naive,dist_km,1,0,430.0,774.0,445.7222126801181,475.259,450.0
naive,dist_km,1,1,430.0,774.0,349.5886813275955,393.059,371.272
naive,dist_km,1,2,430.0,774.0,368.7740968103798,412.387,465.0
naive,dist_km,1,3,430.0,774.0,554.9817820270104,520.0,460.0
naive,dist_km,1,4,430.0,774.0,784.8620291546729,703.862,522.101
naive,dist_km,1,5,430.0,774.0,581.4467883721159,551.541,548.468
naive,dist_km,1,6,430.0,774.0,467.0127072625032,480.0,463.113
naive,dist_km,1,7,430.0,774.0,439.23731923443376,463.119,438.99
naive,dist_km,1,8,430.0,774.0,363.6321930924919,392.185,385.53
naive,dist_km,1,9,430.0,774.0,253.07571989966283,307.69,473.917
naive,dist_km,1,10,430.0,774.0,578.4465975484118,566.685,451.0
naive,dist_km,1,11,430.0,774.0,441.0355495527928,394.657,396.295
naive,dist_km,1,12,430.0,774.0,1153.2643746669032,948.091,443.585
naive,dist_km,1,13,430.0,774.0,388.7874727005869,423.112,402.105
naive,dist_km,1,14,430.0,774.0,456.74817651444187,441.9,451.192
naive,dist_km,1,15,430.0,774.0,397.06521307246345,497.17,415.581
naive,dist_km,1,16,430.0,774.0,256.71909549560155,308.55,263.265
naive,dist_km,1,17,430.0,774.0,837.6031739522189,703.059,393.5
naive,dist_km,1,18,430.0,774.0,409.5514336956358,455.23,419.835
naive,dist_km,1,19,430.0,774.0,626.5095753521363,571.923,449.455
naive,dist_km,2,0,430.0,774.0,458.6724071377344,475.0,459.5
naive,dist_km,2,1,430.0,774.0,745.7069829125769,680.383,454.812
naive,dist_km,2,2,430.0,774.0,546.5312434146209,517.177,452.092
naive,dist_km,2,3,430.0,774.0,364.6578593235687,379.431,379.911
naive,dist_km,2,4,430.0,774.0,430.0022666137046,445.0,433.0
naive,dist_km,2,5,430.0,774.0,471.9780890843349,474.89,465.119
naive,dist_km,2,6,430.0,774.0,405.73446555271016,435.268,425.0
naive,dist_km,2,7,430.0,774.0,609.0289255797173,568.22,481.0
naive,dist_km,2,8,430.0,774.0,285.4097833367647,338.121,310.0
naive,dist_km,2,9,430.0,774.0,563.9936931468883,543.61,548.191
naive,dist_km,2,10,430.0,774.0,770.7948340551466,680.0,520.0
naive,dist_km,2,11,430.0,774.0,404.0185739982542,424.878,414.019
naive,dist_km,2,12,430.0,774.0,571.9533290170172,541.171,412.5
naive,dist_km,2,13,430.0,774.0,433.7129238105978,413.469,433.488
naive,dist_km,2,14,430.0,774.0,237.4747858907684,287.475,439.91
naive,dist_km,2,15,430.0,774.0,436.7887709048048,446.789,440.5
naive,dist_km,2,16,430.0,774.0,662.2849588570714,602.092,420.317
naive,dist_km,2,17,430.0,774.0,400.5034391443119,440.0,422.71
naive,dist_km,2,18,430.0,774.0,342.76955996105767,392.0,432.477
naive,dist_km,2,19,430.0,774.0,412.7078888560176,398.295,408.5
naive,pct_share,0,0,36.0,75.6,73.3544762139808,64.091,45.119
naive,pct_share,0,1,36.0,75.6,30.48807496734413,32.5,33.345
naive,pct_share,0,2,36.0,75.6,37.16313118032755,38.5,40.429
naive,pct_share,0,3,36.0,75.6,39.56829990700719,51.059,46.515
naive,pct_share,0,4,36.0,75.6,33.368363560940736,36.0,35.5
naive,pct_share,0,5,36.0,75.6,29.894539599240467,32.5,33.414
naive,pct_share,0,6,36.0,75.6,39.542154138394885,39.857,39.421
naive,pct_share,0,7,36.0,75.6,60.704538044689656,55.0,41.119
naive,pct_share,0,8,36.0,75.6,34.779155003411994,34.223,35.95
naive,pct_share,0,9,36.0,75.6,34.6117722204314,34.7,37.395
naive,pct_share,0,10,36.0,75.6,43.00527370783241,45.1,42.2
naive,pct_share,0,11,36.0,75.6,38.04952179283684,36.2,36.9
naive,pct_share,0,12,36.0,75.6,43.22542503362433,45.5,42.972
naive,pct_share,0,13,36.0,75.6,60.52208326482905,55.5,40.2
naive,pct_share,0,14,36.0,75.6,23.146166888009297,25.5,32.892
naive,pct_share,0,15,36.0,75.6,21.499562287898076,26.0,25.911
naive,pct_share,0,16,36.0,75.6,27.3191269044384,32.493,31.123
naive,pct_share,0,17,36.0,75.6,42.618678482197815,45.5,43.0
naive,pct_share,0,18,36.0,75.6,15.37496780639916,23.123,41.997
naive,pct_share,0,19,36.0,75.6,42.57240448805797,45.5,42.007
naive,pct_share,1,0,36.0,75.6,37.1700251296832,40.2,38.0
naive,pct_share,1,1,36.0,75.6,30.015901866239663,32.5,34.226
naive,pct_share,1,2,36.0,75.6,31.44365371612129,35.5,38.2
naive,pct_share,1,3,36.0,75.6,45.30096982526589,42.0,40.2
naive,pct_share,1,4,36.0,75.6,62.408337053371,52.292,40.565
naive,pct_share,1,5,36.0,75.6,47.2704586695528,44.1,43.382
naive,pct_share,1,6,36.0,75.6,38.75443402883744,39.5,38.437
naive,pct_share,1,7,36.0,75.6,36.68742840814391,38.5,36.9
naive,pct_share,1,8,36.0,75.6,31.061000416185443,34.5,33.8
naive,pct_share,1,9,36.0,75.6,22.83354194602142,29.421,39.585
